seed,case,mode,sequence_tokens_measured,variant,format,schedule,final_state_hash,last_output_hash,joint_case_wall_time_s,joint_case_peak_memory_bytes,payload_bytes,scale_bytes,total_bytes,hbm_read_reduction_vs_fp32,hbm_write_reduction_vs_fp32,scale_format,output_relative_l2,output_max_abs,output_cosine,output_nan_count,output_inf_count,final_state_relative_l2,final_state_max_abs,final_state_cosine,final_state_nan_count,final_state_inf_count
17,prefill_s2048,prefill,2048,fp32,fp32,reference,743ff2563f73d6ec7a23af4a529eb0d615f9613e8f66da091c0d6bc12f40628f,6d290694d611c8a369b8423abc69473228140c27873b2924036d5f13a30a575d,0.8568553340155631,158960128,2097152,0,2097152,0.0,0.0,N/A,0.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0
17,prefill_s2048,prefill,2048,bf16_chunk128,bf16,chunk128,c4eef473c94e7f070db1fbb8765b53c7f389c93da95667688fdf904ef5d2a8cc,6d290694d611c8a369b8423abc69473228140c27873b2924036d5f13a30a575d,0.8568553340155631,158960128,1048576,0,1048576,0.5,0.5,N/A,0.000300901485303265,0.03125,0.9999999489050626,0,0,0.0016426778167720646,0.001637578010559082,0.9999986777644875,0,0
17,prefill_s2048,prefill,2048,fp16_chunk128,fp16,chunk128,c2f135c61a1a487d6ba4262673adc3b362383492c61ddaa2882e9c3804abcdc3,6d290694d611c8a369b8423abc69473228140c27873b2924036d5f13a30a575d,0.8568553340155631,158960128,1048576,0,1048576,0.5,0.5,N/A,0.00013265960693566598,0.015625,0.9999999886455799,0,0,0.00020707334256567917,0.00031554698944091797,0.9999999573242901,0,0
17,prefill_s2048,prefill,2048,mx8_chunk128,mx8,chunk128,ebad27ce10aae27b3d4e598269b6be9c8604dc9392bb008da2cba3aff9a00955,5ad5404c282231539991e79831307d7dbe510028cd915a3dbf0876273db7b627,0.8568553340155631,158960128,524288,4096,528384,0.748046875,0.748046875,"E8M0 uint8 exponent, bias 127",0.0007783175627670783,0.03125,0.999999713300813,0,0,0.026414387340653243,0.03288757801055908,0.9996518339070802,0,0
17,prefill_s2048,prefill,2048,bf16_token,bf16,token,3bfac1b8a44de6e1eda3aeff56106b7ab0a15cb0e26f9e6d0db1ddb1d31a99f9,efd0ba08019e337afc85c18d2b278e8914c5dfeee2c2a749232189d6c16d50d0,0.8568553340155631,158960128,1048576,0,1048576,0.5,0.5,N/A,0.0013001975424725002,0.03125,0.9999991484174002,0,0,0.0024077401573684037,0.002958238124847412,0.9999971019119327,0,0
17,prefill_s2048,prefill,2048,fp16_token,fp16,token,0eb06078d398874e3b782cfc54a9a12fb171a1dd5486913a4bd1917847bd3d32,0b807c1de23c06b7bbd4a338d813cb8e298d94269d16b5ccf4378d5d60c89839,0.8568553340155631,158960128,1048576,0,1048576,0.5,0.5,N/A,0.000701932293194583,0.03125,0.9999997360093158,0,0,0.0003133584359610369,0.000661015510559082,1.0,0,0
17,prefill_s2048,prefill,2048,mx8_token,mx8,token,cdbdd022c974ba638f03c7179e06160e562729d5dab0fa1e58fe29c93572762f,8291568b164c1d151de691157ebdc153a527a800359ea5fb92dd13078cdd87e1,0.8568553340155631,158960128,524288,4096,528384,0.748046875,0.748046875,"E8M0 uint8 exponent, bias 127",0.004441973995566276,0.052734375,0.9999901670663114,0,0,0.039219796276196865,0.04788106679916382,0.9992309611489024,0,0
17,prefill_s8192,prefill,8192,fp32,fp32,reference,678299d73b69b378a8d901a3a5bdf9f3c977f7fe1118a5ac74c1cdf92d49fb83,19a6741a8b3b9da53605e966064bd1ff779c448c57097e734b7e9dc4b3bf650f,2.338436950929463,159111680,2097152,0,2097152,0.0,0.0,N/A,0.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0
17,prefill_s8192,prefill,8192,bf16_chunk128,bf16,chunk128,d76f138a67e9619a78aab503b0987b0b83afe1774db8a853378ed2629cacbb94,19a6741a8b3b9da53605e966064bd1ff779c448c57097e734b7e9dc4b3bf650f,2.338436950929463,159111680,1048576,0,1048576,0.5,0.5,N/A,0.00030969366910151035,0.03125,0.9999999396303146,0,0,0.001651843778689169,0.001046895980834961,0.9999986486246627,0,0
17,prefill_s8192,prefill,8192,fp16_chunk128,fp16,chunk128,9b8d6ea077018f5ad33305334085301980fd4d3278b90fa16813efa0e0bb4306,19a6741a8b3b9da53605e966064bd1ff779c448c57097e734b7e9dc4b3bf650f,2.338436950929463,159111680,1048576,0,1048576,0.5,0.5,N/A,0.00013770680785300132,0.03125,1.0,0,0,0.00020198742430589705,0.00012129545211791992,0.9999999306772895,0,0
